"","Theme","Sub.Theme","Feature.Name","Co.ordinates","lat","lon","Category"
"125","Place Of Assembly","Informal Outdoor Facility (Park/Garden/Reserve)","Batman Park","-37.8242661832902, 144.968174400274",-37.8242661832902,144.968174400274,"Place Of Assembly"
"126","Community Use","Office","Australian Red Cross","-37.8230135000869, 144.969342535451",-37.8230135000869,144.969342535451,"Community Use"
"127","Leisure/Recreation","Art Gallery/Museum","Polly Woodside","-37.81806108403, 144.97314667014",-37.81806108403,144.97314667014,"Leisure/Recreation"
"128","Leisure/Recreation","Public Buildings","Sidney Myer Music Bowl","-37.8184198800044, 144.971542586509",-37.8184198800044,144.971542586509,"Leisure/Recreation"
"129","Leisure/Recreation","Public Hospital","The Royal Victorian Eye & Ear Hospital","-37.8207887122448, 144.972951789291",-37.8207887122448,144.972951789291,"Leisure/Recreation"
"130","Transport","Film & RV Studio","Channel 7 - Melbourne Broadcast Centre","-37.794964001386, 144.936190756632",-37.794964001386,144.936190756632,"Transport"
"131","Transport","Current Construction Site","Harbour Town","-37.7939140126373, 144.930710207518",-37.7939140126373,144.930710207518,"Transport"
"132","Leisure/Recreation","Major Sports & Recreation Facility","AAMI Park","-37.7906174256581, 144.953834240647",-37.7906174256581,144.953834240647,"Leisure/Recreation"
"133","Leisure/Recreation","Function/Conference/Exhibition Centre","Central Pier","-37.8320733992876, 144.973628364465",-37.8320733992876,144.973628364465,"Leisure/Recreation"
"135","Leisure/Recreation","Further Education","Kangan Batman Tafe","-37.8306631583233, 144.980850432751",-37.8306631583233,144.980850432751,"Leisure/Recreation"
"136","Leisure/Recreation","Major Sports & Recreation Facility","Margaret Court Arena","-37.820469374101, 144.986671109615",-37.820469374101,144.986671109615,"Leisure/Recreation"
"137","Office","Theatre Live","MTC Theatre","-37.8243437355246, 144.96447462898",-37.8243437355246,144.96447462898,"Institutional"
"138","Leisure/Recreation","Informal Outdoor Facility (Park/Garden/Reserve)","Birrarung Marr","-37.8121881194053, 144.935684018873",-37.8121881194053,144.935684018873,"Leisure/Recreation"
"139","Transport","Indoor Recreation Facility","Artplay","-37.8127621113552, 144.973433796529",-37.8127621113552,144.973433796529,"Transport"
"140","Transport","Informal Outdoor Facility (Park/Garden/Reserve)","Riverslide Skate Park","-37.8095762219384, 144.972330132127",-37.8095762219384,144.972330132127,"Transport"
"141","Transport","Railway Station","Macaulay Railway Station (North Melbourne) - Train stop","-37.8097759325888, 144.962670059539",-37.8097759325888,144.962670059539,"Transport"
"142","Transport","Railway Station","Kensington Railway Station","-37.7869105822519, 144.908190706069",-37.7869105822519,144.908190706069,"Transport"
"143","Leisure/Recreation","Informal Outdoor Facility (Park/Garden/Reserve)","Royal Park","-37.81299206932, 144.989062559512",-37.81299206932,144.989062559512,"Leisure/Recreation"
"144","Place Of Assembly","Informal Outdoor Facility (Park/Garden/Reserve)","Shrine of Rembrance Reserve","-37.8222182774409, 144.954039975197",-37.8222182774409,144.954039975197,"Place Of Assembly"
"145","Place Of Assembly","Dwelling (House)","Government House","-37.8191798798062, 144.960426777129",-37.8191798798062,144.960426777129,"Place Of Assembly"
"146","Place of Worship","Informal Outdoor Facility (Park/Garden/Reserve)","Yarra Park","-37.8169549012399, 144.967681647402",-37.8169549012399,144.967681647402,"Place of Worship"
"148","Place Of Assembly","Indoor Recreation Facility","Icehouse","-37.8085761281612, 144.975373745366",-37.8085761281612,144.975373745366,"Place Of Assembly"
"149","Place Of Assembly","Railway Station","Parliament Railway Station","-37.7973939595503, 144.964156669702",-37.7973939595503,144.964156669702,"Place Of Assembly"
"150","Education Centre","Railway Station","Parliament Railway Station","-37.7982892284927, 144.96099520158",-37.7982892284927,144.96099520158,"Education Centre"
"151","Mixed Use","Railway Station","Melbourne Central Railway Station","-37.8106891897454, 144.965714574014",-37.8106891897454,144.965714574014,"Mixed Use"
"152","Leisure/Recreation","Railway Station","Flemington Racecourse Railway Station","-37.809852620638, 144.973462202839",-37.809852620638,144.973462202839,"Leisure/Recreation"
"153","Leisure/Recreation","Informal Outdoor Facility (Park/Garden/Reserve)","Darling Square","-37.7999470049655, 144.943290801869",-37.7999470049655,144.943290801869,"Leisure/Recreation"
"154","Office","Art Gallery/Museum","Victoria Police Museum","-37.799771364073, 144.940963510723",-37.799771364073,144.940963510723,"Institutional"
"155","Leisure/Recreation","Store Yard","Melbourne Wholesale Fish Market","-37.7997051197931, 144.940368286395",-37.7997051197931,144.940368286395,"Leisure/Recreation"
"156","Leisure/Recreation","Art Gallery/Museum","Fire Services Museum Victoria","-37.7934377042609, 144.971696548624",-37.7934377042609,144.971696548624,"Leisure/Recreation"
"157","Community Use","Art Gallery/Museum","The Ian Potter Museum Of Art","-37.814002127195, 144.9785597431",-37.814002127195,144.9785597431,"Community Use"
"158","Mixed Use","Tertiary (University)","University of Melbourne","-37.8215157539717, 144.964456721965",-37.8215157539717,144.964456721965,"Mixed Use"
"159","Mixed Use","Retail/Office/Residential/Carpark","QV Village","-37.8219745489446, 144.96246144843",-37.8219745489446,144.96246144843,"Mixed Use"
"160","Community Use","Informal Outdoor Facility (Park/Garden/Reserve)","Parliament Reserve","-37.8177352402006, 144.967937138226",-37.8177352402006,144.967937138226,"Community Use"
"161","Place Of Assembly","Major Sports & Recreation Facility","North Melbourne Recreation Centre (Aquatic)","-37.8176107327202, 144.969070431323",-37.8176107327202,144.969070431323,"Place Of Assembly"
"162","Place Of Assembly","Office","North Melbourne Football Club","-37.8097374138234, 144.981383411592",-37.8097374138234,144.981383411592,"Place Of Assembly"
"163","Place Of Assembly","Gymnasium/Health Club","North Melbourne Recreation Centre (Gymnasium)","-37.8148855756416, 144.967291289941",-37.8148855756416,144.967291289941,"Place Of Assembly"
"164","Place of Worship","Indoor Recreation Facility","Carlton Baths","-37.8052307297468, 144.966986444597",-37.8052307297468,144.966986444597,"Place of Worship"
"165","Place of Worship","Public Buildings","Conservatory","-37.8104478768313, 144.959873260087",-37.8104478768313,144.959873260087,"Place of Worship"
"166","Place of Worship","Retail/Residential","Eureka Tower","-37.8097086714637, 144.975259178609",-37.8097086714637,144.975259178609,"Place of Worship"
"167","Place of Worship","Retail/Office/Residential/Carpark","Freshwater Place","-37.8109757054396, 144.975729473552",-37.8109757054396,144.975729473552,"Place of Worship"
"168","Place of Worship","Visitor Centre","Melbourne Visitor Centre","-37.8209399677168, 144.967121099857",-37.8209399677168,144.967121099857,"Place of Worship"
"169","Place of Worship","Function/Conference/Exhibition Centre","Dallas Brooks Centre","-37.7940512679297, 144.945399480629",-37.7940512679297,144.945399480629,"Place of Worship"
"170","Place of Worship","Library","The Melbourne Athenaeum Library","-37.7963084580345, 144.944313454028",-37.7963084580345,144.944313454028,"Place of Worship"
"171","Place of Worship","Church","Romanian Orthodox","-37.8147011904647, 144.968072486031",-37.8147011904647,144.968072486031,"Place of Worship"
"172","Place of Worship","Church","Welsh Presbyterian Church","-37.8353076902578, 144.976809080472",-37.8353076902578,144.976809080472,"Place of Worship"
"173","Place of Worship","Church","St Peter's Eastern Hill","-37.8386270533576, 144.986009385387",-37.8386270533576,144.986009385387,"Place of Worship"
"174","Community Use","Church","Lutheran Trinity Church","-37.8164849024046, 144.966486801188",-37.8164849024046,144.966486801188,"Community Use"
"175","Community Use","Church","St Johns Lutheran Church","-37.8139525061193, 144.964425882562",-37.8139525061193,144.964425882562,"Community Use"
"176","Leisure/Recreation","Church","St Michaels","-37.7857860016289, 144.947580972027",-37.7857860016289,144.947580972027,"Leisure/Recreation"
"177","Leisure/Recreation","Church","Ukranian Catholic Cathedral","-37.800410711209, 144.960398319302",-37.800410711209,144.960398319302,"Leisure/Recreation"
"178","Leisure/Recreation","Church","Collins Street Baptist Church","-37.8116929882498, 144.987275671763",-37.8116929882498,144.987275671763,"Leisure/Recreation"
"179","Community Use","Church","St Thomas Aquinas Church","-37.7891890023616, 144.965785979892",-37.7891890023616,144.965785979892,"Community Use"
"180","Retail","Church","The Parish of Christ Church South Yarra","-37.8075002018073, 144.957158515056",-37.8075002018073,144.957158515056,"Mixed Use"
"181","Education Centre","Police Station","Victoria Police","-37.7959079757171, 144.970147317976",-37.7959079757171,144.970147317976,"Education Centre"
"182","Education Centre","Visitor Centre","Melbourne Visitor Booth","-37.8485201804496, 144.982227770988",-37.8485201804496,144.982227770988,"Education Centre"
"183","Place Of Assembly","Major Sports & Recreation Facility","State Netball Hockey Centre","-37.8212806349773, 144.968469643744",-37.8212806349773,144.968469643744,"Place Of Assembly"
"184","Education Centre","Informal Outdoor Facility (Park/Garden/Reserve)","University Square","-37.8241137662047, 144.96933253996",-37.8241137662047,144.96933253996,"Education Centre"
"185","Place Of Assembly","Informal Outdoor Facility (Park/Garden/Reserve)","Powlett Reserve","-37.8352429531289, 144.98114217385",-37.8352429531289,144.98114217385,"Place Of Assembly"
"186","Transport","Cemetery","Melbourne General Cemetery","-37.8181633057171, 144.952944748845",-37.8181633057171,144.952944748845,"Transport"
"187","Place Of Assembly","Primary Schools","Carlton Primary School","-37.8107257091302, 144.9723265962",-37.8107257091302,144.9723265962,"Place Of Assembly"
"188","Education Centre","School - Primary and Secondary Education","Wesley College","-37.7973136216903, 144.956034449946",-37.7973136216903,144.956034449946,"Education Centre"
"189","Community Use","Theatre Live","State Theatre","-37.8099852201226, 144.964330322397",-37.8099852201226,144.964330322397,"Community Use"
"190","Place Of Assembly","Tertiary (University)","University of Melbourne (VCA and Music)","-37.8160014744179, 144.967916735261",-37.8160014744179,144.967916735261,"Place Of Assembly"
"191","Office","Theatre Live","St Martins Youth Arts Centre","-37.8132371662585, 144.974423610255",-37.8132371662585,144.974423610255,"Institutional"
"192","Community Use","Railway Station","Southern Cross Railway Station","-37.8141494182814, 144.957894024264",-37.8141494182814,144.957894024264,"Community Use"
"193","Leisure/Recreation","Theatre Live","Princess Theatre","-37.8216740022008, 144.988156318781",-37.8216740022008,144.988156318781,"Leisure/Recreation"
"194","Leisure/Recreation","Secondary Schools","University High School","-37.7844449253712, 144.951371205938",-37.7844449253712,144.951371205938,"Leisure/Recreation"
"195","Office","Theatre Live","Regent Theatre","-37.823813323734, 144.966551401578",-37.823813323734,144.966551401578,"Institutional"
"196","Place Of Assembly","Office","Old Treasury Building","-37.8249040484653, 144.952288281644",-37.8249040484653,144.952288281644,"Place Of Assembly"
"197","Leisure/Recreation","Public Buildings","Supreme Court","-37.8292844929826, 144.913415802464",-37.8292844929826,144.913415802464,"Leisure/Recreation"
"198","Place Of Assembly","Informal Outdoor Facility (Park/Garden/Reserve)","Richmond Football Club","-37.8271768001126, 144.966936821789",-37.8271768001126,144.966936821789,"Place Of Assembly"
"199","Purpose Built","Outdoor Recreation Facility (Zoo, Golf Course)","Melbourne Zoo","-37.8235761092516, 144.957312880653",-37.8235761092516,144.957312880653,"Leisure/Recreation"
"200","Place Of Assembly","Office","Australian Broadcasting Corporation (ABC)","-37.8188662730911, 144.9839700954",-37.8188662730911,144.9839700954,"Place Of Assembly"
"201","Leisure/Recreation","Private Sports Club/Facility","Melbourne International Shooting Club","-37.8209956785618, 144.946781702342",-37.8209956785618,144.946781702342,"Leisure/Recreation"
"202","Mixed Use","Theatre Live","Malthouse Theatre","-37.815056661803, 144.939136876334",-37.815056661803,144.939136876334,"Mixed Use"
"203","Leisure/Recreation","Art Gallery/Museum","Thoroughbred Racing Gallery","-37.8233522700646, 144.942102276731",-37.8233522700646,144.942102276731,"Leisure/Recreation"
"204","Education Centre","Informal Outdoor Facility (Park/Garden/Reserve)","Docklands Park","-37.7925235045455, 144.927108735461",-37.7925235045455,144.927108735461,"Education Centre"
"205","Place Of Assembly","Retail/Office","Waterfront City","-37.8213744301481, 144.948496661709",-37.8213744301481,144.948496661709,"Place Of Assembly"
"207","Place Of Assembly","Primary Schools","Kensington Primary School","-37.8034315561903, 144.970639929886",-37.8034315561903,144.970639929886,"Place Of Assembly"
"208","Community Use","Art Gallery/Museum","Fox Classic Car Collection","-37.823930384816, 144.968297429894",-37.823930384816,144.968297429894,"Community Use"
"209","Leisure/Recreation","Current Construction Site - Commercial","Railway Good Shed No 2","-37.8206051404251, 144.971796067365",-37.8206051404251,144.971796067365,"Leisure/Recreation"
"210","Transport","Cinema","IMAX Melbourne","-37.8116061787171, 144.973017263156",-37.8116061787171,144.973017263156,"Transport"
"211","Transport","Public Buildings","Melbourne Theatre Company","-37.8238992659834, 144.989400751664",-37.8238992659834,144.989400751664,"Transport"
"212","Transport","Informal Outdoor Facility (Park/Garden/Reserve)","Alexandra Gardens","-37.8165651811668, 144.983641003377",-37.8165651811668,144.983641003377,"Transport"
"213","Leisure/Recreation","Railway Station","Parliament Railway Station","-37.7988345257153, 144.941452061463",-37.7988345257153,144.941452061463,"Leisure/Recreation"
"214","Leisure/Recreation","Railway Station","Richmond Railway Station (Richmond) - Train stop","-37.7870161727156, 144.961115214367",-37.7870161727156,144.961115214367,"Leisure/Recreation"
"215","Community Use","Railway Station","Jolimont-MCG Railway Station (East Melbourne) - Train stop","-37.8302080020387, 144.973441913623",-37.8302080020387,144.973441913623,"Community Use"
