"Business.address","Trading.name","Seating_type","Number_of_seats","Census.year","Block.ID","Property.ID","Base.property.ID","Building.address","CLUE.small.area","Industry..ANZSIC4..code","Industry..ANZSIC4..description","Longitude","Latitude","location"
"462 Queen Street MELBOURNE VIC 3000","Market Lane Coffee","Outdoor",2,2022,114,109493,109493,"452-468 Queen Street MELBOURNE VIC 3000","Melbourne (CBD)",4512,"Takeaway Food Services",144.958485701511,-37.80786989635,"-37.80786989635, 144.9584857015114"
"83-85 Victoria Street MELBOURNE VIC 3000","Market Lane Coffee","Outdoor, Indoor",28,2022,113,110673,108118,"83-129 Victoria Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9576272223,-37.8078325742213,"-37.807832574221266, 144.9576272223"
"Part 178 Faraday Street CARLTON VIC 3053","Market Lane Coffee","Outdoor, Indoor",6,2022,217,103710,103710,"176-178 Faraday Street CARLTON VIC 3053","Carlton",4512,"Takeaway Food Services",144.96848991735,-37.7985737616431,"-37.79857376164314, 144.96848991734998"
"Part Ground 8 Collins Street MELBOURNE VIC 3000","Market Lane Coffee","Indoor, Outdoor",44,2022,38,102172,102172,"8 Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9732576387,-37.8131431849654,"-37.813143184965384, 144.9732576387"
"LwrGround 25 Bank Place MELBOURNE VIC 3000","Marrakech Bar","Indoor",50,2022,33,105937,105937,"435-443 Little Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4520,"Pubs, Taverns and Bars",144.960097298518,-37.816395712,"-37.816395712, 144.96009729851846"
"313-315 Drummond Street CARLTON VIC 3053","Masani Italian Dining & Terrace","Indoor, Outdoor",90,2022,217,102686,102686,"313-315 Drummond Street CARLTON VIC 3053","Carlton",4511,"Cafes and Restaurants",144.968492456629,-37.7983796798,"-37.7983796798, 144.96849245662938"
"Restaurant Ground 159 Domain Road SOUTH YARRA VIC 3141","Matilda 159","Indoor",50,2022,861,102502,102502,"157-159 Domain Road SOUTH YARRA VIC 3141","South Yarra",4511,"Cafes and Restaurants",144.9814520532,-37.8342846322875,"-37.83428463228749, 144.9814520532"
"95 Little Collins Street MELBOURNE VIC 3000","Maverick Coffee And Food","Indoor, Outdoor",68,2022,37,709873,102161,"95-109 Exhibition Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.970686321577,-37.81363930815,"-37.81363930815, 144.9706863215771"
"25-27 QV Square MELBOURNE VIC 3000","Max Brenner Chocolates","Indoor, Outdoor",117,2022,76,589841,105749,"QV Retail & Parking 221 Little Lonsdale Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.965725053002,-37.81067861705,"-37.81067861705, 144.965725053002"
"Ground 54-58 Hardware Lane MELBOURNE VIC 3000","Max On Hardware","Indoor, Outdoor",86,2022,64,104669,104669,"54-58 Hardware Lane MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.961262151673,-37.8133947948,"-37.8133947948, 144.96126215167345"
"407A St Kilda Road MELBOURNE VIC 3004","McDonald's","Indoor, Outdoor",44,2022,710,108624,108624,"407A St Kilda Road MELBOURNE VIC 3004","Melbourne (Remainder)",4511,"Cafes and Restaurants",144.976175529517,-37.83615131285,"-37.83615131285, 144.97617552951652"
"Ground 392-406 Bourke Street MELBOURNE VIC 3000","McDonald's Bourke St West","Indoor",120,2022,54,101187,101187,"392-406 Bourke Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.96173824055,-37.8142202401624,"-37.81422024016241, 144.96173824055"
"11-15 Elizabeth Street MELBOURNE VIC 3000","McDonalds","Indoor",130,2022,14,103167,103167,"11-15 Elizabeth Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.96449933263,-37.81782906345,"-37.81782906345, 144.96449933262986"
"275-279 Swanston Street MELBOURNE VIC 3000","McDonalds","Indoor",94,2022,65,109301,109301,"275-279 Swanston Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.964506969502,-37.81180752745,"-37.81180752745, 144.9645069695023"
"305-331 City Road SOUTHBANK VIC 3006","McDonalds","Outdoor, Indoor",94,2022,731,110377,110377,"305-331 City Road SOUTHBANK VIC 3006","Southbank",4511,"Cafes and Restaurants",144.957914811042,-37.8282363476,"-37.8282363476, 144.9579148110422"
